geomaterial_id,mineral_IMA
437,Avicennite
438,Avogadrite
439,Awaruite
442,Azoproite
444,Azovskite
447,Azurite
449,Ånnerødite
451,Augelite
452,Almandine
453,Ashoverite
454,Achroite
455,Arandisite
456,Anandite
458,Ba-Priderite
459,Barium-bearing Celestine
460,Barium-Sanidine
461,Barium-Lamprophyllite
462,Barytolamprophyllite
464,Barium-bearing Heulandite
466,Barytocalcite
470,Barium-Uranophane
472,Bariopharmacosiderite
474,Barium-bearing phlogopite
475,Barium-Vanadium-Muscovite
476,Babefphite
478,Babingtonite
479,Baddeckite
480,Baddeleyite
481,Badenite
482,Bafertisite
483,Baghdadite
484,Bahianite
485,Baikalite
486,Baikerite
488,Baileychlore
490,Bakerite
492,Balangeroite
495,Balipholite
496,Balkanite
498,Ballas
499,Ballesterosite
500,Balvraidite
501,Balyakinite
502,Bambollaite
504,Banalsite
506,Bandylite
508,Bannermanite
509,Bannisterite
510,Baotite
511,Bararite
512,Baratovite
513,Barberiite
514,Stichtite-2H
516,Barbosalite
517,Barcenite
518,Bardiglio
520,Barentsite
521,Barettite
522,Bariandite
524,Baricite
525,Bario-orthojoaquinite
526,Bariomicrolite (of Hogarth 1977)
528,Barium-Adularia
529,Barium-Albite
531,Barium-Anorthite (of Nockolds and Zies)
532,Barklyite
533,Barnesite
534,Barnhardtite
535,Barrandite
536,Barrerite
537,Barringerite
538,Barringtonite
539,Barroisite
540,Barstowite
541,Bartelkeite
542,Copper-bearing Austinite
543,Bartholomite
544,Bartonite
545,Barylite
546,Barysilite
548,Barytbiotite
549,Baryte
550,Baryto-Fluate of Lime
551,Barytoanglesite
554,Basaltic Hornblende
556,Basiliite
557,Bassanite
558,Bassetite
559,Bastinite
560,Bastnasite-(Ce)
561,Bastnasite-(La)
562,Bastnasite-(Y)
563,Bastnäsite
564,Bastonite
565,Batavite
566,Batchelorite
567,Bathvillite
568,Batisite
569,Batrachite
570,Bauerite
571,Argentobaumhauerite
572,Baumhauerite
573,Baumite
574,Bauranoite
576,Bavalite
577,Bavenite
578,Bayankhanite
579,Bayate
580,Bayerite
581,Bayldonite
582,Bayleyite
583,Baylissite
584,Bazhenovite
585,Bazirite
586,Bazzite
587,Beaconite
588,Bean Ore
589,Bearsite
590,Bearthite
591,Beaverite-(Cu)
592,Beccarite
593,Bechererite
594,Bechilite
596,Beckerite
597,Becquerelite
598,Bedenite
599,Beegerite
600,Beekite
601,Befanamite
602,Behierite
603,Behoite
604,Beidellite
605,Beiyinite
607,Beldongrite
608,Belendorffite
609,Belkovite
610,Bellbergite
611,Bellidoite
612,Bellingerite
613,Bellite
614,Belmontite
615,Belomorite
618,Belovite-(Ce)
619,Belyankinite
621,Bementite
622,Benauite
623,Benavidesite
624,Benitoite
625,Benjaminite
626,Benstonite
627,Bentorite
628,Beraunite
629,Berborite
630,Berdesinskiite
631,Bergenite
632,Bergslagite
633,Berlinite
634,Bermanite
635,Bernalite
636,Bernardite
637,Berndtite
638,Berryite
639,Berthierine
640,Berthierite
641,Bertossaite
642,Bertrandite
643,Beryllite
644,Beryllonite
645,Berzelianite
646,Berzeliite
647,Paralomonosovite
649,Betafite (of Hogarth 1977)
650,Betekhtinite
651,Betpakdalite-CaCa
652,Beudantite
653,Beusite
654,Beyerite
655,Beyrichite
656,Bezsmertnovite
657,Bhreckite
658,Bismutohauchecornite
659,Bismutostibiconite
660,Bianchite
661,Bicchulite
662,Bideauxite
663,Bismutotantalite
664,Bieberite
665,Bismutomicrolite (of Hogarth 1977)
666,Bielzite
667,Bismutoferrite
668,Biharite
669,Bijvoetite-(Y)
670,Bikitaite
671,Bilibinite
672,Bilibinskite
673,Bilinite
674,Billietite
675,Billingsleyite
676,Bindheimite
677,Biotite
678,Biphosphammite
679,Biringuccite
680,Birnessite
681,Bischofite
682,Bismite
683,Bismoclite
684,Bismuth
685,Bismuth Ochre
686,Bismuthinite
